; lines starting with ; or # are comments
; first non-comment line is knapsack weight/size
6404180
; following lines specify list of objects with properties
; item   price/value  weight/size
item1	 825594	382745
item2	1677009	799601
item3	1676628	909247
item4	1523970	729069
item5	 943972	467902
item6	  97426	 44328
item7	  69666	 34610
item8	1296457	698150
item9	1679693	823460
item10	1902996	903959
item11	1844992	853665
item12	1049289	551830
item13	1252836	610856
item14	1319836	670702
item15	 953277	488960
item16	2067538	951111
item17	 675367	323046
item18	 853655	446298
item19	1826027	931161
item20	  65731	 31385
item21	 901489	496951
item22	 577243	264724
item23	 466257	224916
item24	 369261	169684
